A user account was locked out,
Access Mask,Zugriffsmaske
Access Request Information,
Accesses,Zugriffe
Account Domain,Kontodomäne
Account Domain,Kontodomõne
Account Expires,Konto g³ltig bis
Account Expires,Konto gültig bis
Account For Which Logon Failed,"Konto, f³r das die Anmeldung fehlgeschlagen ist"
Account For Which Logon Failed,"Konto, für das die Anmeldung fehlgeschlagen ist"
Account For Which Logon Failed,Konto  für das die Anmeldung fehlgeschlagen ist
Account Information,Kontoinformationen
Account Name,Kontoname
Account Session Identifier,Kontositzungs-ID
Account That Was Locked Out,Gesperrtes Konto
Account Whose Credentials Were Used,"Konto, dessen Anmeldeinformationen verwendet wurden"
Account Whose Credentials Were Used,Konto  dessen Anmeldeinformationen verwendet wurden
Additional Information,Weitere Informationen
Additional Information,Zusätzliche Informationen
Additional Information,Zusõtzliche Informationen
Advanced Options,Erweiterte Optionen
Algorithm Name,Algorithmusname
Allowed To Delegate To,Kann delegieren an
AllowedToDelegateTo,Darf delegieren an
Application Correlation ID,Anwendungskorrelations-ID
Application Information,Anwendungsinformationen
Application Name,Anwendungsname
Attribute,Attribut
Attributes,Attribute
Audit Failure,▄berwachung gescheiter
Audit Success,▄berwachung erfolgreich
Auditing Settings,Überwachungseinstellungen
Authentication Details,Authentifizierungsdetails
Authentication Package Name,
Authentication Package,Authentifizierungspaket
Authentication Provider,Authentifizierungsanbieter
Authentication Server,Authentifizierungsserver
Authentication Type,Authentifizierungstyp
Called Station Identifier,Empfangs-ID
Called Station Identifier,Empfänger-ID
Called Station Identifier,ID der Empfangsstation
Caller Computer Name,Aufrufcomputername
Caller Domain,
Caller Logon ID,
Caller Process ID,Aufrufprozess-ID
Caller Process Name,Aufrufprozessname
Caller User Name,
Calling Station Identifier,Anrufer-ID
Calling Station Identifier,ID der Anrufstation
Certificate Information,Zertifikatsinformationen
Certificate Issuer Name,Zertifikatausstellername
Certificate Serial Number,Seriennummer des Zertifikats
Certificate Thumbprint,Zertifikatfingerabdruck
Change Type,Änderungstyp
Changed Attributes,Geänderte Attribute
Changed Attributes,Geõnderte Attribute
Class ID,Klassen-ID
Class Name,Klassenname
Class,Klasse
Client Address,Clientadresse
Client Domain,
Client Friendly Name,Clientanzeigename
Client Friendly Name,Clientanzeigenname
Client IP Address,Client-IP-Adresse
Client Logon ID,
Client Machine,Clientcomputer
Client Name,
Client Port,Clientport
Client User Name,
Compatible IDs,Kompatible IDs
Computer Account That Was Changed,Geändertes Computerkonto
Computer Account That Was Changed,Geõndertes Computerkonto
Configuration Access Policy,Konfigurationszugriffsrichtlinie
Configured Names,Konfigurierte Namen
Connection Request Policy Name,Name der Verbindungsanforderungsrichtline
Connection Request Policy Name,Name der Verbindungsanforderungsrichtlinie
Correlation ID,Korrelations-ID
Creator Process ID,Erstellerprozess-ID
Creator Process Name,Erstellerprozessname
Creator Subject,Antragsteller
Cryptographic Operation,Kryptografischer Vorgang
Cryptographic Parameters,Kryptografische Parameter
Deleted Group,Gelöschte Gruppe
Deleted Group,Gruppe
Destination Address,Zieladresse
Destination Port,Zielanschluss
Detailed Authentication Information,Detaillierte Authentifizierungsinformationen
Device ID,Geräte-ID
Device Name,Gerätename
Direction,Richtung
Directory Service,Verzeichnisdienst
Disable Integrity Checks,Integritätsprüfungen deaktivieren
Disable Integrity Checks,Integritõtspr³fungen deaktivieren
Disabled Privileges,Deaktivierte Berechtigungen
Display Name,Anzeigename
DNS Host Name,DNS-Hostname
Domain Behavior Version,Domänenverhaltensversion
Domain ID,Domänen-ID
Domain Name,Domänenname
Domain,Domäne
EAP Type,EAP-Typ
Elevated Token,Token mit erhöhten Rechten
