A user account was locked out,Se bloque¾ una cuenta de usuario
A user account was locked out,Se bloqueÂ¾ una cuenta de usuario
Access Check Results,Resultados de la comprobación de acceso
Access Mask,Máscara de acceso
Access Request Information,Información de solicitud de acceso
Accesses,Accesos
Account Domain,Dominio de cuenta
Account Domain,Dominio de la cuenta
Account Domain,Nombre de dominio
Account Expires,Expiración de cuenta
Account For Which Logon Failed,Cuenta con error de inicio de sesi¾n
Account For Which Logon Failed,Cuenta con error de inicio de sesión
Account Information,Informaci¾n de cuenta
Account Information,InformaciÂ¾n de cuenta
Account Information,Información de cuenta
Account Name,Nombre de cuenta
Account Name,Nombre de la cuenta
Account Session Identifier,Identificador de sesión de cuenta
Account That Was Locked Out,Cuenta bloqueada
Account Whose Credentials Were Used,Cuenta cuyas credenciales se usaron
Additional Information,Informaci¾n adicional
Additional Information,InformaciÂ¾n adicional
Additional Information,Información adicional
Advanced Options,Opciones avanzadas
Allowed To Delegate To,Se permite delegación a
AllowedToDelegateTo,Se permite delegación a
Application Correlation ID,Id. de correlación de aplicación
Application Correlation ID,Id. de correlación de la aplicación
Application Information,Información de aplicación
Application Name,Nombre de aplicación
Attribute,Atributo
Attributes,Atributos
Audit Failure,Error de auditorÝa
Audit Success,AuditorÝa correcta
Auditing Settings,Configuración de auditoría
Authentication Details,Detalles de autenticación
Authentication Details,Informaci¾n de autenticaci¾n detallada
Authentication Details,InformaciÂ¾n de autenticaciÂ¾n detallada
Authentication Package Name,
Authentication Package,Paquete de autenticaci¾n
Authentication Package,Paquete de autenticaciÂ¾n
Authentication Package,Paquete de autenticación
Authentication Provider,Proveedor de autenticación
Authentication Server,Servidor de autenticación
Authentication Type,Tipo de autenticación
Called Station Identifier,Identificador de estación llamada
Caller Computer Name,Nombre de equipo del autor de la llamada
Caller Domain,
Caller Logon ID,
Caller Process ID,Id. de proceso del autor de la llamada
Caller Process Name,Nombre de proceso del autor de la llamada
Caller User Name,
Calling Station Identifier,Identificador de estación de llamada
Calling Station Identifier,Identificador de estación que llama
Certificate Information,Informaci¾n de certificado
Certificate Information,InformaciÂ¾n de certificado
Certificate Information,Información de certificado
Certificate Issuer Name,Nombre de emisor de certificado
Certificate Issuer Name,Nombre de emisor de certificados
Certificate Serial Number,Número de serie de certificado
Certificate Thumbprint,Huella digital de certificado
Change Type,Tipo de cambio
Changed Attributes,Atributos cambiados
Class ID,Id. de clase
Class Name,Nombre de clase
Class,Clase
Client Address,Direcci¾n de cliente
Client Address,DirecciÂ¾n de cliente
Client Address,Dirección de cliente
Client Address,Dirección del cliente
Client Domain,
Client Friendly Name,Nombre descriptivo de cliente
Client IP Address,Dirección IP cliente
Client IP Address,Dirección IP de cliente
Client Logon ID,
Client Machine,Equipo cliente
Client Name,Nombre de cliente
Client Port,Puerto de cliente
Client User Name,
Compatible IDs,Id. compatible
Compatible IDs,Id. compatibles
Computer Account That Was Changed,Cuenta de equipo cambiada
Configuration Access Policy,Directiva de acceso a la configuración
Configured Names,Nombres configurados
Connection Request Policy Name,Nombre de directiva de solicitud de conexión
Correlation ID,Id. de correlación
Creator Process ID,Id. de proceso creador
Creator Process ID,Identificador del proceso creador
Creator Process Name,Nombre del proceso creador
Creator Subject,Firmante creador
Deleted Group,Grupo eliminado
Destination Address,Dirección de destino
Destination Port,Puerto de destino
Detailed Authentication Information,Informaci¾n de autenticaci¾n detallada
Detailed Authentication Information,InformaciÂ¾n de autenticaciÂ¾n detallada
Detailed Authentication Information,Información de autenticación detallada
Device ID,Id. de dispositivo
Device Name,Nombre de dispositivo
Device Name,Nombre del dispositivo
Direction,Dirección
Directory Service,Servicio de directorio
Disable Integrity Checks,Desactivar comprobaciones de integridad
Disabled Privileges,Privilegios deshabilitados
Display Name,Nombre para mostrar
DNS Host Name,Nombre de host DNS
Domain Behavior Version,Versión de comportamiento de dominio
Domain ID,Id. de dominio
Domain Name,Nombre de dominio
Domain,Dominio
EAP Type,Tipo de EAP
