Account Domain,Domaine
Account Domain,Domaine de compte
Account Domain,Domaine de comptes
Account Domain,Domaine de comptesá
Account Domain,Domaine du compte
Account Domain,Domaine du compteá
Account Expires,Le compte expire le
Account For Which Logon Failed,Compte pour lequel l’ouverture de session a échoué
Account Information,Informations sur le compte
Account Information,Informations sur le compteá
Account Name,Compte
Account Name,Nom de compte
Account Name,Nom du compte
Account Name,Nom du compteá
Account Session Identifier,Identificateur de la session du compte
Account That Was Locked Out,Compte verrouillé
Account Whose Credentials Were Used,Compte dont les informations d’identification ont été utilisées
Additional Information,Informations supplÚmentairesá
Additional Information,Informations supplémentaires
Advanced Options,Options avancées
Allowed To Delegate To,Délégué autorisé
AllowedToDelegateTo,Délégué autorisé
Application Correlation ID,ID de corrélation d'application
Application Correlation ID,ID de corrélation de l’application
Application Correlation ID,ID de corrélation d’application
Application Information,Informations sur l’application
Application Name,Nom de l’application
Attribute,Attribut
Attributes,Attributs
Attributes,Attributs modifiés
Audit Failure,Échec de l’audit
Audit Success,Succès de l’audit
Auditing Settings,Paramètres d’audit
Authentication Details,Informations détaillées de l’authentification
Authentication Details,Informations détaillées sur l'authentification
Authentication Details,Informations détaillées sur l’authentification
Authentication Package,Package d'authentification
Authentication Package,Package d’authentification
Authentication Provider,Fournisseur d'authentification
Authentication Provider,Fournisseur d’authentification
Authentication Server,Serveur d'authentification
Authentication Server,Serveur d’authentification
Authentication Type,Type d'authentification
Authentication Type,Type d’authentification
Called Station Identifier,Identificateur de la station appelée
Caller Computer Name,Nom de l’ordinateur de l’appelant
Caller Process ID,ID du processus de l’appelant
Caller Process Name,Nom du processus de l’appelant
Calling Station Identifier,Identificateur de la station appelante
Certificate Information,Informations sur le certificat
Certificate Issuer Name,Nom de l’émetteur du certificat
Certificate Serial Number,Numéro de série du certificat
Certificate Thumbprint,Empreinte numérique du certificat
Change Type,Type de modification
Changed Attributes,Attributs modifiés
Class ID,ID de classe
Class Name,Nom de la classe
Class,Classe
Client Address,Adresse du client
Client Address,Adresse du clientá
Client Friendly Name,Nom convivial du client
Client IP Address,Adresse IP du client
Client Machine,Ordinateur client
Client Port,Port client
Client Port,Port clientá
Compatible IDs,ID compatibles
Computer Account That Was Changed,Compte d’ordinateur modifié
Configuration Access Policy,Stratégie d'accès à la configuration
