A user account was locked out,
Access Request Information,
Accesses,
Account Domain,Dominio account
Account Domain,Nome account
Account Expires,Scadenza account
Account For Which Logon Failed,Account il cui accesso non è riuscito
Account Information,Informazioni sull'account
Account Name,Nome account
Account Session Identifier,Identificatore di sessione account
Account That Was Locked Out,Account bloccato
Account Whose Credentials Were Used,Account di cui sono state utilizzate le credenziali
Additional Information,Informazioni aggiuntive
Advanced Options,Opzioni avanzate
Allowed To Delegate To,Delega consentita a
AllowedToDelegateTo,Delega consentita a
Application Correlation ID,ID correlazione applicazione
Application Information,Informazioni sull'applicazione
Application Name,Nome applicazione
Attribute,Attributo
Attributes,Attributi
Audit Failure,
Audit Success,Controllo riuscito
Auditing Settings,Impostazioni di controllo
Aufit Failure,Controllo non riuscito
Authentication Details,Dettagli autenticazione
Authentication Package Name,
Authentication Package,Pacchetto di autenticazione
Authentication Provider,Provider di autenticazione
Authentication Server,Server di autenticazione
Authentication Type,Tipo di autenticazione
Called Station Identifier,Identificatore stazione chiamata
Caller Computer Name,Nome computer chiamante
Caller Domain,
Caller Logon ID,
Caller Process ID,ID processo chiamante
Caller Process Name,Nome processo chiamante
Caller User Name,
Calling Station Identifier,Identificatore stazione chiamante
Certificate Information,Informazioni sul certificato
Certificate Issuer Name,Nome autorità di certificazione
Certificate Serial Number,Numero di serie certificato
Certificate Thumbprint,Identificazione personale del certificato
Change Type,Tipo di modifica
Changed Attributes,Attributi modificati
Class ID,ID classe
Class Name,Nome classe
Class,Classe
Client Address,Indirizzo client
Client Domain,
Client Friendly Name,Nome descrittivo client
Client IP Address,Indirizzo IP client
Client Logon ID,
Client Machine,Computer client
Client Name,
Client Port,Porta client
Client User Name,
Compatible IDs,ID compatibili
Computer Account That Was Changed,Account computer modificato
Configuration Access Policy,Criteri di accesso configurazione
Configured Names,Nomi configurati
Connection Request Policy Name,Nome criteri richiesta di connessione
Correlation ID,ID correlazione
Creator Process ID,ID processo creatore
Creator Process Name,Nome processo creatore
Creator Subject,Soggetto creatore
Deleted Group,Gruppo eliminato
Destination Address,Indirizzo di destinazione
