A user account was locked out,
Access Request Information,
Accesses,
Account Domain,アカウント ドメイン
Account Expires,アカウント有効期限終了日
Account For Which Logon Failed,ログオンを失敗したアカウント
Account Information,アカウント情報
Account Name,アカウント名
Account Session Identifier,アカウントのセッション ID
Account That Was Locked Out,ロックアウトされたアカウント
Account Whose Credentials Were Used,資格情報が使用されたアカウント
Additional Information,追加情報
Advanced Options,詳細オプション
Allowed To Delegate To,許可された委任先
AllowedToDelegateTo,許可された委任先
Application Correlation ID,アプリケーションの関連付け ID
Application Information,アプリケーション情報
Application Name,アプリケーション名
Attribute,属性
Attributes,属性
Audit Failure,失敗の監査
Audit Success,成功の監査
Auditing Settings,監査設定
Authentication Details,認証の詳細
Authentication Package Name,
Authentication Package,認証パッケージ
Authentication Provider,認証プロバイダー
Authentication Server,認証サーバー
Authentication Type,認証の種類
Called Station Identifier,被呼端末 ID
Caller Computer Name,呼び出し元コンピューター名
Caller Domain,
Caller Logon ID,
Caller Process ID,呼び出し側プロセス ID
Caller Process Name,呼び出し側プロセス名
Caller User Name,
Calling Station Identifier,起呼端末 ID
Certificate Information,証明書情報
Certificate Issuer Name,証明書発行者名
Certificate Serial Number,証明書シリアル番号
Certificate Thumbprint,証明書拇印
Change Type,変更の種類
Changed Attributes,変更された属性
Class ID,クラス ID
Class Name,クラス名
Class,クラス
Client Address,クライアント アドレス
Client Domain,
Client Friendly Name,クライアントのフレンドリ名
Client IP Address,クライアント IP アドレス
Client Logon ID,
Client Machine,クライアント コンピューター
Client Name,
Client Port,クライアント ポート
Client User Name,
Compatible IDs,互換性 ID
Computer Account That Was Changed,変更されたコンピューター アカウント
Configuration Access Policy,構成アクセス ポリシー
Configured Names,構成名
Connection Request Policy Name,接続要求ポリシー名
Correlation ID,関連付け ID
Creator Process ID,クリエーター プロセス ID
Creator Process ID,作成元プロセス ID
Creator Process Name,作成元プロセス名
Creator Subject,作成元サブジェクト
Deleted Group,削除されたグループ
Destination Address,宛先アドレス
Destination Port,宛先ポート
Detailed Authentication Information,詳細な認証情報
Device ID,デバイス ID
Device Name,デバイス名
