A user account was locked out,
Access Request Information,
Accesses,
Account Domain,계정 도메인
Account Domain,도메인
Account Expires,계정 만료
Account For Which Logon Failed,로그온을 실패한 계정
Account Information,계정 정보
Account Name,계정 이름
Account Name,계정이름
Account Name,사용자 이름
Account Session Identifier,계정 세션 식별자
Account That Was Locked Out,잠근 계정
Account Whose Credentials Were Used,자격 증명이 사용된 계정
Additional Information,추가 정보
Advanced Options,고급 옵션
Allowed To Delegate To,위임하도록 허용된 대상
AllowedToDelegateTo,위임하도록 허용된 대상
Application Correlation ID,응용 프로그램 관계 ID
Application Correlation ID,응용 프로그램 상관 관계 ID
Application Information,응용 프로그램 정보
Application Name,응용 프로그램 이름
Attribute,특성
Attributes,특성
Audit Failure,감사 실패
Audit Success,감사 성공
Auditing Settings,감사 설정
Authentication Details,인증 정보
Authentication Package Name,
Authentication Package,인증 패키지
Authentication Provider,인증 공급자
Authentication Server,인증 서버
Authentication Type,인증 유형
Called Station Identifier,호출된 스테이션 식별자
Caller Computer Name,호출자 컴퓨터 이름
Caller Domain,
Caller Logon ID,
Caller Process ID,호출자 프로세스 ID
Caller Process Name,호출자 프로세스 이름
Caller User Name,
Calling Station Identifier,호출 스테이션 식별자
Certificate Information,인증서 정보
Certificate Issuer Name,인증서 발급자 이름
Certificate Serial Number,인증서 일련 번호
Certificate Thumbprint,인증서 지문
Change Type,변경 유형
Changed Attributes,변경된 특성
Class ID,클래스 ID
Class Name,클래스 이름
Class,클래스
Client Address,클라이언트 주소
Client Domain,
Client Friendly Name,클라이언트 이름
Client IP Address,클라이언트 IP 주소
Client Logon ID,
Client Machine,클라이언트 컴퓨터
Client Name,
Client Port,클라이언트 포트
Client User Name,
Compatible IDs,호환 가능 ID
Computer Account That Was Changed,변경된 컴퓨터 계정
Configuration Access Policy,구성 액세스 정책
Configured Names,구성된 이름
Connection Request Policy Name,연결 요청 정책 이름
Correlation ID,관계 ID
Correlation ID,상관 관계 ID
Creator Process ID,만든 이 프로세스 ID
Creator Process ID,생성자 프로세스 ID
Creator Process Name,생성자 프로세스 이름
