Access Check Results,Результаты проверки доступа
Access Granted,Предоставленный доступ
Access Mask,Маска доступа
Access Reasons,Причины доступа
Access Reasons,Сведения о причинах доступа
Access Request Information,Сведения о запросе доступа
Access Request Information,Сведения о запросе на доступ
Access Right,Право на доступ
Accesses,Доступы
Accesses,Операции доступа
Account Domain,Домен учетной записи
Account Expires,Срок действия учетной записи истекает
Account For Which Logon Failed,"Учетная запись, которой не удалось выполнить вход"
Account Information,Сведения об учетной записи
Account Modified,Измененная учетная запись
Account Name,Имя учетной записи
Account Name,имя учетной записи
Account Session Identifier,Идентификатор сеанса учетной записи
Account That Was Locked Out,Заблокированная учетная запись
Account Whose Credentials Were Used,Были использованы учетные данные следующей учетной записи
Additional Information,Дополнительные сведения
Advanced Options,Дополнительные параметры
Allowed To Delegate To,Разрешено делегировать
AllowedToDelegateTo,Разрешено делегировать
Application Correlation ID,Идентификатор корреляции приложения
Application Information,Сведения о приложении
Application Name,Имя приложения
Attribute,Атрибут
Attributes,Атрибуты
Audit Failure,Аудит отказа
Audit Policy Change,Изменение политики аудита
Audit Success,Аудит успеха
Auditing Settings,Параметры аудита
Authentication Details,Сведения о проверке подлинности
Authentication Package,Пакет проверки подлинности
Authentication Provider,Поставщик проверки подлинности
Authentication Server,Сервер проверки подлинности
Authentication Type,Тип проверки подлинности
BackupFileName,Имя файла резервной копии
CA Certificate Hash,Хэш сертификата ЦС
CA Public Key Hash,Хэш открытого ключа ЦС
Called Station Identifier,Идентификатор вызываемой станции
Caller Computer Name,Имя вызывающего компьютера
Caller Process ID,Идентификатор процесса вызывающей стороны
Caller Process Name,Имя процесса вызывающей стороны
Caller Workstation,Вызывающая рабочая станция
Calling Station Identifier,Идентификатор вызывающей станции
Category,Категория
Certificate Database Hash,Хеш базы данных сертификатов
Certificate Database Hash,Хэш базы данных сертификатов
Certificate Information,Сведения о сертификате
Certificate Issuer Name,Имя поставщика сертификата
Certificate Serial Number,Серийный номер сертификата
Certificate Thumbprint,Отпечаток сертификата
Change Information,Сведения об изменении
Change Type,Тип изменения
Changed Attributes,Измененные атрибуты
Changes Made,Внесенные изменения
Changes,Изменения
Class ID,ИД класса
Class Name,Имя класса
Class,Класс
Client Address,Адрес клиента
Client Friendly Name,Понятное имя клиента
Client IP Address,IP-адрес клиента
Client Machine,Клиентский компьютер
Client Machine,Компьютер клиента
Client Name,Имя клиента
Client Port,Порт клиента
Compatible IDs,Совместимые ИД
Computer Account That Was Changed,Измененная учетная запись компьютера
Configuration Access Policy,Политика доступа к конфигурации
Configured Names,Настроенные имена
Connection Request Policy Name,Имя политики запроса на подключение
Connection Request Policy Name,Имя политики запросов на подключение
Correlation ID,Идентификатор корреляции
Creator Process ID,ИД процесса-создателя
Creator Process ID,Идентификатор создавшего процесса
Creator Process Name,Имя процесса-создателя
Creator Subject,Субъект-создатель
Data,Данные
Deleted Group,Удаленная группа
Desired Access,Требуемый доступ
Destination Address,Адрес назначения
Destination Address,Конечный адрес
Destination DRA,Конечный DRA
Destination Port,Порт назначения
Detailed Authentication Information,Подробные сведения о проверке подлинности
Detailed Authentication Information,Сведения о проверке подлинности
Device ID,ИД устройства
Device Name,Имя устройства
Direction,Направление
Directory Service,Служба каталогов
Disable Integrity Checks,Отключить проверку целостности
Disabled Privileges,Отключенные привилегии
Display Name,Отображаемое имя
Disposition,Назначение
DN,Различаемое имя
DNS Host Name,DNS-имя узла
Domain Behavior Version,Версия поведения домена
Domain ID,Идентификатор домена
Domain ID,Код домена
Domain Name,Имя домена
Domain,Домен
EAP Error Code,Код ошибки EAP
EAP Reason Code,Код причины EAP
EAP Root Cause String,Строка основной причины EAP
EAP Type,Тип EAP
Elevated Token,Расширенный маркер
Enabled Privileges,Включенные привилегии
Entry,Запись
Error Code,Код ошибки
Error,Ошибка
Event in sequence,Событие в последовательности
Event Source ID,Идентификатор источника событий
Event Source,Источник событий
Exit Status,Состояние выхода
Expiration time,Время окончания срока действия
Expiration Time,Срок действия
Extended-Result,Расширенный результат
Failed test code,Код ошибки проверки
Failure Code,Код ошибки
Failure Information,Сведения об ошибке
Failure Reason,Причина ошибки
File Name,Имя файла
Filter Information,tСведения о фильтре
Filter Information,Сведения о фильтре
Filter Run-Time ID,Идентификатор выполнения фильтра
Filter Run-Time ID,Код выполнения фильтра
Filter,Фильтр
Flags,Флаги
Flight Signing,Подписание рейса
Force Logoff,Принудительный выход
