A user account was locked out,
Access Request Information,访问请求信息
Accesses,访问
Account Domain,帐户域
Account Expires,帐户过期
Account For Which Logon Failed,登录失败的帐户
Account Information,帐户信息
Account Name,帐户名
Account Name,帐户名称
Account Session Identifier,帐户会话标识符
Account That Was Locked Out,已锁定的帐户
Account Whose Credentials Were Used,使用了哪个帐户的凭据
Additional Information,其他信息
Additional Information,附加信息
Advanced Options,高级选项
Allowed To Delegate To,允许委托给
AllowedToDelegateTo,允许委派给
Application Correlation ID,应用程序相关性 ID
Application Information,应用程序信息
Application Name,应用程序名称
Attribute,属性
Attributes,属性
Audit Failure,审核失败
Audit Success,审核成功
Auditing Settings,审核设置
Authentication Details,身份验证详细信息
Authentication Package Name,身份验证数据包
Authentication Package,身份验证数据包
Authentication Provider,身份验证提供程序
Authentication Server,身份验证服务器
Authentication Type,身份验证类型
Called Station Identifier,被调用站标识符
Caller Computer Name,调用方计算机名
Caller Domain,调用方域
Caller Logon ID,调用方登录 ID
Caller Process ID,调用方进程 ID
Caller Process Name,调用方进程名
Caller User Name,调用方用户名
Calling Station Identifier,调用站标识符
Certificate Information,证书信息
Certificate Issuer Name,证书颁发者名称
Certificate Serial Number,证书序列号
Certificate Thumbprint,证书指纹
Change Type,更改类型
Changed Attributes,已更改的属性
Class ID,类 ID
Class Name,类名称
Class,类
Client Address,客户端地址
Client Domain,客户端域
Client Friendly Name,客户端友好名称
Client IP Address,客户端 IP 地址
Client Logon ID,客户端登录 ID
Client Machine,客户端计算机
Client Name,客户端名
Client Port,客户端端口
Client User Name,客户端用户名
Compatible IDs,兼容 ID
Computer Account That Was Changed,已更改的计算机帐户
Configuration Access Policy,配置访问策略
Configured Names,配置的名称
Connection Request Policy Name,连接请求策略名称
Correlation ID,相关性 ID
Creator Process ID,创建者进程 ID
Creator Process Name,创建者进程名称
Creator Subject,创建者主题
Deleted Group,删除的组
Destination Address,目标地址
Destination Port,目标端口
Detailed Authentication Information,详细的身份验证信息
Detailed Authentication Information,详细身份验证信息
Device ID,设备 ID
Device Name,设备名称
Direction,方向
Directory Service,目录服务
Disable Integrity Checks,禁用完整性检查
Disabled Privileges,禁用的特权
Display Name,显示名称
DNS Host Name,DNS 主机名
Domain Behavior Version,域行为版本
Domain ID,域 ID
Domain Name,域名
Domain,域
EAP Type,EAP 类型
Elevated Token,提升的令牌
Enabled Privileges,启用的特权
Error Code,错误代码
Event in sequence,事件顺序
Expiration time,到期时间
Expiration Time,过期时间
Extended-Result,扩展结果
Failed test code,失败测试代码
Failure Code,失败代码
Failure Code,故障代码
Failure Information,失败信息
Failure Reason,失败原因
Filter Information,筛选器信息
Filter Run-Time ID,筛选器运行时 ID
Flight Signing,检测签名
Force Logoff,强制注销
Fully Qualified Account Name,完全限定的帐户名称
General Settings,常规设置
Group Domain,组域
Group Membership,组成员身份
Group Name,组名
Group,组
Handle ID,句柄 ID
Handle ID,处理 ID
Hardware IDs,硬件 ID
Help URL,帮助 URL
Home Directory,主目录
Home Drive,主驱动器
HyperVisor Debugging,虚拟机监控程序调试
HyperVisor Launch Type,虚拟机监控程序启动类型
HyperVisor Load Options,虚拟机监控程序加载选项
HyperVisor Settings,虚拟机监控程序设置
Image File Name,图像文件名称
Image File,图像文件
Impersonation Level,模拟级别
IP Addresses,IP 地址
Kernel Debugging,内核调试
Key Length,密钥长度
Layer Name,层名称
Layer Run-Time ID,层运行时 ID
LDAP Display Name,LDAP 显示名称
Linked Logon ID,链接的登录 ID
Load Options,加载选项
Location Information,位置信息
Lockout Duration,锁定持续时间
Lockout Observation Window,锁定观察窗口
Lockout Threshold,锁定阈值
Logging Results,日志记录结果
Logon Account,登录帐户
Logon GUID,登录 GUID
Logon Hours,登录时间(以小时计)
Logon ID,登录 ID
Logon Information,登录信息
Logon Process Name,登录过程
