A user account was locked out,
Access Request Information,
Accesses,
Account Domain,帳戶網域
Account Expires,帳戶有效期
Account For Which Logon Failed,登入失敗的帳戶
Account Information,帳戶資訊
Account Name,帳戶名稱
Account Session Identifier,帳戶工作階段識別元
Account Session Identifier,帳戶工作階段識別碼
Account That Was Locked Out,鎖定的帳戶
Account Whose Credentials Were Used,使用其認證的帳戶
Additional Information,其他資訊
Advanced Options,進階選項
Allowed To Delegate To,允許委派於
AllowedToDelegateTo,允許委派於
Application Correlation ID,應用程式相互關聯識別碼
Application Information,應用程式資訊
Application Name,應用程式名稱
Attribute,屬性
Attributes,屬性
Audit Failure,審核失敗
Audit Success,審核成功
Auditing Settings,稽核設定
Authentication Details,驗證詳細資料
Authentication Package Name,驗證封裝
Authentication Package,驗證封裝
Authentication Provider,驗證提供者
Authentication Server,驗證伺服器
Authentication Type,驗證類型
Called Station Identifier,呼叫的工作站識別元
Called Station Identifier,呼叫的工作站識別碼
Called Station Identifier,被呼叫的工作站識別碼
Caller Computer Name,呼叫者電腦名稱
Caller Domain,呼叫者網域
Caller Logon ID,呼叫者登入識別碼
Caller Logon ID,呼叫者登入識别碼
Caller Process ID,呼叫者處理程序識別碼
Caller Process Name,呼叫者處理程序名稱
Caller User Name,
Calling Station Identifier,發出呼叫的工作站識別元
Calling Station Identifier,發出呼叫的工作站識別碼
Certificate Information,憑證資訊
Certificate Issuer Name,憑證簽發者名稱
Certificate Serial Number,憑證序號
Certificate Thumbprint,憑證指紋
Change Type,變更類型
Changed Attributes,變更的屬性
Class ID,類別識別碼
Class Name,類別名稱
Class,類別
Client Address,用戶端位址
Client Domain,
Client Friendly Name,用戶端易記名稱
Client IP Address,用戶端 IP 位址
Client Logon ID,
Client Machine,用戶端電腦
Client Name,
Client Port,用戶端連接埠
Client User Name,
Compatible IDs,相容識別碼
Computer Account That Was Changed,變更的電腦帳戶
Configuration Access Policy,設定存取原則
Configured Names,設定的名稱
Connection Request Policy Name,連線要求原則名稱
Correlation ID,相互關聯識別碼
Creator Process ID,建立者處理程序識別碼
